Ta,rh,COD,th0,dsw,dni,dhi,C01,C02,C03,C04,C05,C06
273.0,0.3,15.0,0.0,512.8672573624525,0.047568135295131,512.8196892271573,45.18479553558762,122.2128907548212,71.81586378390026,0.2429782282111504,6.042300242843315,4.614441332280994
298.0,0.5,0.63,15.0,913.1194725603224,456.92715601757766,471.76173183012946,9.64199716367924,13.555261854350878,8.84532677474082,0.0022044030626854,2.819181450016259,0.6101392062468237
243.0,0.1,0.4,60.0,445.6317689610867,335.7576908143419,277.75292355391576,8.060461763994912,9.487796078493291,4.986231188601382,0.3653647557823969,1.6022665397611418,0.3766589638909985
268.0,0.1,6.31,15.0,754.8041340883293,16.717527610105343,738.656242418028,21.58537799310937,34.11019753963956,12.61014713139248,0.3397893182084267,3.8224341432503017,0.8927498097253811
258.0,0.2,30.0,30.0,252.71853047550255,5.110563236636602,248.2926528849284,51.43358431710669,139.52978719662343,79.35670811695523,1.3088677419476151,5.913988064412715,4.454455328249875
293.0,0.6,0.4,30.0,810.8892608038065,505.8708412153728,372.79226127748944,8.860174129351286,11.970329356159926,7.826658879709029,0.0023601644682879,2.527775454475343,0.5597024654517867
248.0,0.6,20.0,0.0,438.3266330221635,0.0472481241618676,438.27938489800175,50.98869863481329,138.816697460329,80.5071537298499,1.2129902900836738,6.322560711507078,4.730491893359006
293.0,0.1,20.0,60.0,131.74882942372557,3.625142350609629,129.93625824842076,28.990817987468397,73.85598321721758,43.15116598330904,0.0684286072777317,3.7044064610979106,3.137395016525729
298.0,0.3,30.0,45.0,164.2956781122204,4.22501539097066,161.3081410786475,43.34182836901594,112.12614993660056,62.20587904040988,0.015872648210642,5.075376518081061,3.8078844824838
278.0,0.2,50.0,15.0,188.05911178053407,2.1431520956759513,185.98898582165515,63.74721991189461,172.02215017373967,95.35455824069808,0.3421438363909715,6.449411239414274,4.602131070528892
243.0,0.3,40.0,45.0,142.10265291620175,3.7506455643264727,139.4505460038393,45.902454647949966,122.2399221609641,69.7706940999756,1.8435126717613408,5.135889040242555,4.030190432352187
278.0,0.2,1.0,15.0,974.848057379221,370.3995539434358,617.0695621793055,10.532346471437195,15.014769236363936,8.934463223198595,0.0261227493706172,2.8484956312062204,0.6466615725120425
303.0,0.7,0.25,60.0,373.12003253613545,334.99338807496815,205.62333849865132,7.76499908040776,8.855098840789324,4.903678736874069,0.0017208262136714,1.5390536147140157,0.3240613227031348
288.0,0.5,1.0,0.0,970.497736469142,316.41855473715356,654.0791817319885,10.685730045928834,15.394861564439958,9.20659040519892,0.003483781529744,2.932692093355639,0.6544616113075018
278.0,0.9,2.51,0.0,924.027113951585,80.22472071727174,843.8023932343133,14.00420070182179,21.074904147326457,10.482351645171374,0.0030164175325929,3.27927324205502,0.7371672967665295
233.0,0.9,6.31,45.0,460.5516056079696,13.351398756671076,451.1107410088017,19.81500285846851,30.477722545683072,10.879622108331947,0.577362052163579,3.281870633435333,0.760037343491832
243.0,1.0,0.25,0.0,1099.5413031791627,686.7339198931468,412.807383286016,8.975447786605162,12.989254080830174,9.144256679984712,0.2213277128158406,2.937096033116692,0.6544336179175018
283.0,0.1,1.58,30.0,819.5365178065074,197.8287941989474,648.2117564301752,11.66422037098462,16.654161887004758,8.589230695006481,0.0402543519057616,2.7182231627214386,0.6319614930304428
268.0,0.3,1.0,60.0,383.8320631253119,128.5088625223716,319.57763186412603,9.377933483219293,12.199811551909193,5.615450377565599,0.0264932390352203,1.7892213540306188,0.436937398514187
283.0,0.1,0.16,30.0,891.4773081858776,694.0941266844734,290.37416185954936,8.399574446703078,11.050727522817336,7.602210566709278,0.0270661099593048,2.514918294218538,0.5679049087614632
238.0,0.2,15.0,60.0,170.04879256241003,4.598593814856915,167.74949565498156,27.149361734658157,69.96514017455772,42.04647818760195,1.680771507124396,3.627682225537336,3.1927913474655254
293.0,0.8,0.0,60.0,400.7212035884606,513.934950413094,143.75372838191356,7.060932081101841,7.635990418972448,4.730143197040791,0.0011741596381275,1.4933646850823754,0.3225749225997396
288.0,0.4,0.0,15.0,966.7931572691936,801.1445948027001,192.94690255737453,8.346579787493237,11.09201066695729,8.38452873494553,0.0030091454039596,2.7450747872159393,0.6200786753313525
268.0,0.4,0.25,30.0,885.2786640849146,635.6762424377463,334.7668895515905,8.467062657134276,11.551903210519768,7.762845637363183,0.026007745777249,2.5111784142769915,0.5621179104419385
263.0,0.7,0.0,15.0,1013.5509184573988,837.1504961264824,204.9256337581229,8.180044495218212,11.50269849136418,8.458275942950591,0.0259618987791381,2.761388044021058,0.6271035076608348
238.0,0.9,0.4,30.0,920.2604410063096,575.4069689244127,421.94338840316505,8.915493113642832,12.112754276157474,7.979357952266726,0.2964239864135958,2.558456159789298,0.5859744804322428
288.0,0.7,2.51,45.0,527.3782416010968,55.55085668071596,488.0978541414405,13.644604573362685,19.738216705947934,8.519932373032722,0.0021528900215558,2.663634273991022,0.6180342754846546
233.0,0.8,0.16,30.0,938.1130060739076,726.7821475694601,308.7012032617445,8.340650543982996,11.37241371483092,7.867872040947709,0.4196591356891037,2.510006901527155,0.5578033044325684
233.0,0.7,0.4,60.0,443.5302156920519,331.96095961758635,277.54973588325873,8.084900683741635,9.556950272643205,5.0489201421173835,0.2728091051342453,1.6104241687608567,0.3739078708259971
263.0,1.0,6.31,45.0,441.1436872649632,12.821841856318017,432.0772759410593,20.108715503505167,31.18556785238033,11.142248168796566,0.0228239032371619,3.329467971674166,0.7814431742809214
